gender,age_from,age_to,family,cnt,age,nrep,deathrate,portion,family_factor,agegroup,contacts_mean
f,28,28,ledig,376563.0,28,1,0.00023564,0.004535853646311969,0,20,13.57
f,28,28,verheiratet,150042.0,28,1,0.00023564,0.0018073165786334302,1,20,13.57
f,28,28,verheiratet_lp,535.0,28,1,0.00023564,6.444291395535152e-06,0,20,13.57
f,28,28,verwitwet,290.0,28,1,0.00023564,3.493167298514381e-06,0,20,13.57
f,28,28,verwitwet_lp,3.0,28,1,0.00023564,3.6136213432907394e-08,0,20,13.57
f,29,29,geschieden,11381.0,29,1,0.00025877,0.000137088748359973,0,20,13.57
f,29,29,geschieden_lp,210.0,29,1,0.00025877,2.5295349403035175e-06,0,20,13.57
f,29,29,ledig,344150.0,29,1,0.00025877,0.00414542595097836,0,20,13.57
f,29,29,verheiratet,175510.0,29,1,0.00025877,0.0021140889398698587,1,20,13.57
f,29,29,verheiratet_lp,694.0,29,1,0.00025877,8.359510707479244e-06,0,20,13.57
f,29,29,verwitwet,462.0,29,1,0.00025877,5.5649768686677385e-06,0,20,13.57
f,29,29,verwitwet_lp,4.0,29,1,0.00025877,4.818161791054319e-08,0,20,13.57
f,30,30,geschieden,14685.0,30,1,0.00031713,0.0001768867647540817,0,30,14.14
f,30,30,geschieden_lp,272.0,30,1,0.00031713,3.276350017916937e-06,0,30,14.14
f,30,30,ledig,319566.0,30,1,0.00031713,0.0038493017273001614,0,30,14.14
f,30,30,verheiratet,207601.0,30,1,0.00031713,0.002500638014961669,1,30,14.14
f,30,30,verheiratet_lp,778.0,30,1,0.00031713,9.37132468360065e-06,0,30,14.14
f,30,30,verwitwet,489.0,30,1,0.00031713,5.890202789563905e-06,0,30,14.14
f,30,30,verwitwet_lp,0.0,30,1,0.00031713,0.0,0,30,14.14
f,31,31,geschieden,17543.0,31,1,0.000314,0.0002113125307511648,0,30,14.14
f,31,31,geschieden_lp,268.0,31,1,0.000314,3.228168400006394e-06,0,30,14.14
f,31,31,ledig,286800.0,31,1,0.000314,0.003454622004185947,0,30,14.14
f,31,31,verheiratet,227271.0,31,1,0.000314,0.0027375711210367655,1,30,14.14
f,31,31,verheiratet_lp,846.0,31,1,0.000314,1.0190412188079884e-05,0,30,14.14
f,31,31,verwitwet,642.0,31,1,0.000314,7.733149674642182e-06,0,30,14.14
f,31,31,verwitwet_lp,6.0,31,1,0.000314,7.227242686581479e-08,0,30,14.14
f,32,32,geschieden,20487.0,32,1,0.00034263,0.0002467742015333246,0,30,14.14
f,32,32,geschieden_lp,336.0,32,1,0.00034263,4.047255904485628e-06,0,30,14.14
f,32,32,ledig,260053.0,32,1,0.00034263,0.003132443570622622,0,30,14.14
f,32,32,verheiratet,244150.0,32,1,0.00034263,0.00294088550321478,1,30,14.14
f,32,32,verheiratet_lp,909.0,32,1,0.00034263,1.094927267017094e-05,0,30,14.14
f,32,32,verwitwet,767.0,32,1,0.00034263,9.238825234346656e-06,0,30,14.14
f,32,32,verwitwet_lp,4.0,32,1,0.00034263,4.818161791054319e-08,0,30,14.14
f,33,33,geschieden,23531.0,33,1,0.00036033,0.00028344041276324793,0,30,14.14
f,33,33,geschieden_lp,331.0,33,1,0.00036033,3.987028882097449e-06,0,30,14.14
f,33,33,ledig,232151.0,33,1,0.00036033,0.002796352694887628,0,30,14.14
f,33,33,verheiratet,253992.0,33,1,0.00036033,0.0030594363740836716,1,30,14.14
f,33,33,verheiratet_lp,906.0,33,1,0.00036033,1.0913136456738033e-05,0,30,14.14
f,33,33,verwitwet,933.0,33,1,0.00036033,1.1238362377634198e-05,0,30,14.14
f,33,33,verwitwet_lp,5.0,33,1,0.00036033,6.022702238817899e-08,0,30,14.14
f,34,34,geschieden,27052.0,34,1,0.00040599999999999995,0.0003258522819290036,0,30,14.14
f,34,34,geschieden_lp,325.0,34,1,0.00040599999999999995,3.914756455231634e-06,0,30,14.14
f,34,34,ledig,213533.0,34,1,0.00040599999999999995,0.002572091354323005,0,30,14.14
f,34,34,verheiratet,266603.0,34,1,0.00040599999999999995,0.0032113409699511364,1,30,14.14
f,34,34,verheiratet_lp,1000.0,34,1,0.00040599999999999995,1.2045404477635798e-05,0,30,14.14
f,34,34,verwitwet,1111.0,34,1,0.00040599999999999995,1.338244437465337e-05,0,30,14.14
f,34,34,verwitwet_lp,2.0,34,1,0.00040599999999999995,2.4090808955271594e-08,0,30,14.14
f,35,35,geschieden,31206.0,35,1,0.00041213,0.0003758888921291027,0,30,14.14
f,35,35,geschieden_lp,343.0,35,1,0.00041213,4.131573735829079e-06,0,30,14.14
f,35,35,ledig,199125.0,35,1,0.00041213,0.0023985411666092283,0,30,14.14
