"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","JAN","population on 1st January","1","males","Y44","44 years","99","total","2019","2019",476257,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y44","44 years","99","total","2019","2019",480778,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y44","44 years","99","total","2019","2019",957035,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y45","45 years","99","total","2019","2019",472105,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y45","45 years","99","total","2019","2019",478566,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y45","45 years","99","total","2019","2019",950671,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y47","47 years","99","total","2019","2019",479265,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y47","47 years","99","total","2019","2019",489249,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y47","47 years","99","total","2019","2019",968514,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y48","48 years","99","total","2019","2019",475101,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y48","48 years","99","total","2019","2019",484689,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y48","48 years","99","total","2019","2019",959790,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y46","46 years","99","total","2019","2019",476891,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y46","46 years","99","total","2019","2019",482839,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y46","46 years","99","total","2019","2019",959730,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y49","49 years","99","total","2019","2019",486967,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y49","49 years","99","total","2019","2019",498625,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y49","49 years","99","total","2019","2019",985592,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y50","50 years","99","total","2019","2019",482710,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y50","50 years","99","total","2019","2019",495694,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y50","50 years","99","total","2019","2019",978404,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y51","51 years","99","total","2019","2019",482654,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y51","51 years","99","total","2019","2019",499062,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y51","51 years","99","total","2019","2019",981716,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y52","52 years","99","total","2019","2019",488209,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y52","52 years","99","total","2019","2019",501219,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y52","52 years","99","total","2019","2019",989428,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y53","53 years","99","total","2019","2019",486004,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y53","53 years","99","total","2019","2019",500464,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y53","53 years","99","total","2019","2019",986468,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y54","54 years","99","total","2019","2019",490847,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y54","54 years","99","total","2019","2019",507473,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y54","54 years","99","total","2019","2019",998320,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y55","55 years","99","total","2019","2019",457702,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y55","55 years","99","total","2019","2019",478775,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y55","55 years","99","total","2019","2019",936477,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y56","56 years","99","total","2019","2019",440587,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y56","56 years","99","total","2019","2019",463767,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y56","56 years","99","total","2019","2019",904354,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y57","57 years","99","total","2019","2019",430066,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y57","57 years","99","total","2019","2019",455241,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y57","57 years","99","total","2019","2019",885307,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y58","58 years","99","total","2019","2019",415518,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y58","58 years","99","total","2019","2019",441332,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y58","58 years","99","total","2019","2019",856850,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y59","59 years","99","total","2019","2019",404313,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y59","59 years","99","total","2019","2019",430594,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y59","59 years","99","total","2019","2019",834907,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y60","60 years","99","total","2019","2019",384019,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y60","60 years","99","total","2019","2019",412660,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y60","60 years","99","total","2019","2019",796679,"p","provisional data"
